"","State","Account_Length","Area_Code","Phone","Intl_Plan","Vmail_Plan","Vmail_Message","Day_Mins","Day_Calls","Eve_Mins","Eve_Calls","Night_Mins","Night_Calls","Intl_Mins","Intl_Calls","CustServ_Calls","Churn","Mahalanobis","Outlier","Test_Split"
"38","MA",78,"415","353-3305","no","no",0,130.8,64,223.7,116,227.8,108,10,5,1,"False.",6.96849521079757,FALSE,0.902299045119435
"39","AK",136,"415","402-1381","yes","yes",33,203.9,106,187.6,99,101.7,107,10.5,6,3,"False.",10.8331438472516,FALSE,0.690705278422683
"40","NJ",149,"408","332-9891","no","no",0,140.4,94,271.8,92,188.3,108,11.1,9,1,"False.",9.80432642726874,FALSE,0.795467417687178
"43","AR",34,"510","353-7289","no","no",0,124.8,82,282.2,98,311.5,78,10,4,2,"False.",14.1535964305652,FALSE,0.477795971091837
"44","ID",160,"415","390-7274","no","no",0,85.8,77,165.3,110,178.5,92,9.2,4,3,"False.",9.72583112668555,FALSE,0.758459537522867
"45","WI",64,"510","352-1237","no","no",0,154,67,225.8,118,265.3,86,3.5,3,1,"False.",14.6992702298762,FALSE,0.216407935833558
"46","OR",59,"408","353-3061","no","yes",28,120.9,97,213,92,163.1,116,8.5,5,2,"False.",7.22736440482622,FALSE,0.318181007634848
"47","MI",65,"415","363-5450","no","no",0,211.3,120,162.6,122,134.7,118,13.2,5,3,"False.",10.1496782538684,FALSE,0.231625785352662
"48","DE",142,"408","364-1995","no","no",0,187,133,134.6,74,242.2,127,7.4,5,2,"False.",11.8197368292809,FALSE,0.142800022382289
"49","ID",119,"415","398-1294","no","no",0,159.1,114,231.3,117,143.2,91,8.8,3,5,"True.",12.0609179876531,FALSE,0.414546335814521
"51","IA",52,"408","413-4957","no","no",0,191.9,108,269.8,96,236.8,87,7.8,5,3,"False.",7.30453964325337,FALSE,0.413724326295778
"52","IN",60,"408","420-5645","no","no",0,220.6,57,211.1,115,249,129,6.8,3,1,"False.",12.980332226609,FALSE,0.368845450924709
"53","VA",10,"408","349-4396","no","no",0,186.1,112,190.2,66,282.8,57,11.4,6,2,"False.",17.9576462879728,FALSE,0.152444747742265
"54","UT",96,"415","404-3211","no","no",0,160.2,117,267.5,67,228.5,68,9.3,5,2,"False.",9.17246272007438,FALSE,0.13880606344901
"55","WY",87,"415","353-3759","no","no",0,151,83,219.7,116,203.9,127,9.7,3,5,"True.",12.13848707822,FALSE,0.233034099452198
"56","IN",81,"408","363-5947","no","no",0,175.5,67,249.3,85,270.2,98,10.2,3,1,"False.",7.67860396094283,FALSE,0.465962450252846
"57","CO",141,"415","340-5121","no","no",0,126.9,98,180,62,140.8,128,8,2,1,"False.",12.2207180727324,FALSE,0.265972640365362
"60","OK",125,"408","355-7251","no","no",0,229.3,103,177.4,126,189.3,95,12,8,1,"False.",7.0911155210848,FALSE,0.857827715342864
"62","CA",116,"415","405-3371","no","yes",34,268.6,83,178.2,142,166.3,106,11.6,3,2,"False.",13.3000355019636,FALSE,0.442200074205175
"63","MN",74,"510","344-5117","no","yes",33,193.7,91,246.1,96,138,92,14.6,3,2,"False.",9.80131456452382,FALSE,0.798924845643342
"64","SD",149,"408","332-8160","no","yes",28,180.7,92,187.8,64,265.5,53,12.6,3,3,"False.",17.5449062781107,FALSE,0.12189925997518
"65","NC",38,"408","359-4081","no","no",0,131.2,98,162.9,97,159,106,8.2,6,2,"False.",6.70999443392776,FALSE,0.560947983758524
"66","WA",40,"415","352-8305","no","yes",41,148.1,74,169.5,88,214.1,102,6.2,5,2,"False.",14.6861185138088,FALSE,0.20653138961643
"67","WY",43,"415","329-9847","yes","no",0,251.5,105,212.8,104,157.8,67,9.3,4,0,"False.",10.1240660828806,FALSE,0.127531650243327
"68","MN",113,"408","365-9011","yes","no",0,125.2,93,206.4,119,129.3,139,8.3,8,0,"False.",14.3240874164384,FALSE,0.753307864302769
"69","UT",126,"408","338-9472","no","no",0,211.6,70,216.9,80,153.5,60,7.8,1,1,"False.",13.7753432097895,FALSE,0.895045359153301
"70","TX",150,"510","374-8042","no","no",0,178.9,101,169.1,110,148.6,100,13.8,3,4,"True.",9.48012691736443,FALSE,0.374462775886059
"71","NJ",138,"408","359-1231","no","no",0,241.8,93,170.5,83,295.3,104,11.8,7,3,"False.",11.020450138707,FALSE,0.665115194628015
"74","NV",90,"415","399-4246","no","no",0,203.4,146,226.7,117,152.4,105,7.3,4,1,"False.",9.6290199675486,FALSE,0.383969637798145
"75","HI",85,"415","362-5889","no","no",0,235.8,109,157.2,94,188.2,99,12,3,0,"False.",5.11050705317356,FALSE,0.27438364457339
"76","MN",50,"415","350-8921","no","no",0,157.1,90,223.3,72,181.4,111,6.1,2,1,"False.",8.52887159617758,FALSE,0.814640038879588
"77","DC",82,"415","374-5353","no","no",0,300.3,109,181,100,270.1,73,11.7,4,0,"True.",12.00864882939,FALSE,0.448516341391951
"79","MN",46,"415","355-8887","no","no",0,214.1,72,164.4,104,177.5,113,8.2,3,2,"False.",6.95555645263752,FALSE,0.810064353048801
"80","MD",70,"408","333-1967","no","no",0,170.2,98,155.2,102,228.6,76,15,2,1,"False.",8.23929586941137,FALSE,0.812389509519562
"81","WV",144,"415","354-4577","no","no",0,201.1,99,303.5,74,224,119,13.2,2,1,"False.",11.8738772278474,FALSE,0.794342321110889
"82","OR",116,"415","331-7425","yes","no",0,215.4,104,204.8,79,278.5,109,12.6,5,3,"False.",7.38897507570493,FALSE,0.439831687603146
"83","CO",55,"408","419-2637","no","yes",25,165.6,123,136.1,95,175.7,90,11,2,3,"False.",9.59366799713011,FALSE,0.754475158639252
"84","GA",70,"415","411-1530","no","yes",24,249.5,101,259.7,98,222.7,68,9.8,4,1,"False.",8.30946135263227,FALSE,0.629221131559461
"85","TX",106,"510","395-3026","no","no",0,210.6,96,249.2,85,191.4,88,12.4,1,2,"True.",6.16853585638834,FALSE,0.710182401351631
"87","IN",94,"408","402-1251","no","no",0,157.9,105,155,101,189.6,84,8,5,4,"True.",6.65701765893635,FALSE,0.475316574098542
"88","WV",111,"510","412-9997","no","no",0,214.3,118,208.5,76,182.4,98,12,2,1,"False.",5.3741202064369,FALSE,0.220118885161355
"89","KY",74,"415","346-7302","no","yes",35,154.1,104,123.4,84,202.1,57,10.9,9,2,"False.",18.1671354127727,FALSE,0.379816537722945
"90","NJ",128,"415","358-9095","no","no",0,237.9,125,247.6,93,208.9,68,13.9,4,1,"True.",9.78408935236858,FALSE,0.612771003274247
"91","DC",82,"510","400-9770","no","no",0,143.9,61,194.9,105,109.6,94,11.1,2,1,"False.",9.89993112623197,FALSE,0.351797909243032
"92","LA",155,"415","334-1275","no","no",0,203.4,100,190.9,104,196,119,8.9,4,0,"True.",5.29985381374301,FALSE,0.111135424347594
"93","AR",80,"415","340-4953","no","no",0,124.3,100,173,107,253.2,62,7.9,9,1,"False.",12.892619856288,FALSE,0.243619472719729
"94","ME",78,"415","400-9510","no","no",0,252.9,93,178.4,112,263.9,105,9.5,7,3,"False.",8.07945162243595,FALSE,0.66805558744818
"95","AZ",90,"415","387-6103","no","no",0,179.1,71,190.6,81,127.7,91,10.6,7,3,"False.",9.15029207696097,FALSE,0.417646779678762
"96","AK",104,"408","366-4467","no","no",0,278.4,106,81,113,163.2,137,9.8,5,1,"False.",14.7341229458738,FALSE,0.788195834029466
"97","MT",73,"415","370-3450","no","no",0,160.1,110,213.3,72,174.1,72,13,4,0,"False.",8.17460453710093,FALSE,0.102864644257352
"98","AZ",99,"415","327-3954","no","no",0,198.2,87,207.3,76,190.9,113,8.7,3,4,"False.",7.53188278203126,FALSE,0.434892741497606
"99","MS",120,"408","355-6291","no","no",0,212.1,131,209.4,104,167.2,96,5.3,5,1,"True.",7.57066422730971,FALSE,0.984956979984418
"100","ID",77,"415","362-9748","no","no",0,251.8,72,205.7,126,275.2,109,9.8,7,2,"True.",10.8142483757969,FALSE,0.893051114398986
"101","IA",98,"510","379-6506","no","yes",21,161.2,114,252.2,83,160.2,92,4.4,8,4,"False.",16.069966633417,FALSE,0.886469060787931
"102","MA",108,"415","347-7741","no","no",0,178.3,137,189,76,129.1,102,14.6,5,0,"False.",11.7658038264127,FALSE,0.175052650272846
"103","VT",135,"415","354-3783","no","no",0,151.7,82,119,105,180,100,10.5,6,0,"False.",7.6238327429259,FALSE,0.130695691565052
"104","KY",95,"408","401-7594","no","no",0,135,99,183.6,106,245.3,102,12.5,9,1,"False.",7.64353805409204,FALSE,0.653101925039664
"105","IN",122,"408","397-4976","no","no",0,170.5,94,173.7,109,248.6,75,11.3,2,1,"False.",5.6566772511221,FALSE,0.343516472261399
"106","AZ",95,"408","334-2577","no","no",0,238.1,65,187.2,98,190,115,11.8,4,4,"False.",9.92188439732688,FALSE,0.656758127966896
"107","MI",36,"510","400-3637","no","yes",29,281.4,102,202.2,76,187.2,113,9,6,2,"False.",12.6029756060184,FALSE,0.320373242488131
"108","NM",93,"510","383-4361","no","yes",21,117.9,131,164.5,115,217,86,9.8,3,1,"False.",7.54890771193836,FALSE,0.187691119266674
"109","CO",141,"415","371-4306","no","yes",32,148.6,91,131.1,97,219.4,142,10.1,1,1,"False.",14.861947645403,FALSE,0.782294301316142
"111","MI",120,"408","409-3786","no","no",0,165,100,317.2,83,119.2,86,8.3,8,1,"False.",13.6090024980486,FALSE,0.46677904156968
"112","MA",103,"415","337-4697","no","no",0,185,117,223.3,94,222.8,91,12.6,2,2,"False.",4.14339810787514,FALSE,0.511505459900945
"113","AL",98,"408","383-1509","no","no",0,161,117,190.9,113,227.7,113,12.1,4,4,"False.",7.03080426478312,FALSE,0.59998895926401
"114","DE",125,"408","359-9794","no","no",0,126.7,108,206,90,247.8,114,13.3,7,1,"False.",6.31785709477078,FALSE,0.332823540316895
"115","AZ",63,"415","407-7035","no","no",0,58.9,125,169.6,59,211.4,88,9.4,3,1,"False.",13.6436110496247,FALSE,0.488613033667207
"117","NJ",64,"510","391-4652","no","no",0,162.6,83,152.3,109,57.5,122,14.2,3,1,"False.",15.3193215082475,FALSE,0.954473827499896
"118","NV",74,"415","355-6837","no","no",0,282.5,114,219.9,48,170,115,9.4,4,1,"True.",14.5930168572958,FALSE,0.4829023971688
"119","MO",112,"510","409-1244","no","yes",36,113.7,117,157.5,82,177.6,118,10,3,2,"False.",10.3768853348344,FALSE,0.890350222121924
"120","ID",97,"408","328-3266","no","no",0,239.8,125,214.8,111,143.3,81,8.7,5,2,"False.",6.73428455803681,FALSE,0.914438186911866
"121","NE",46,"408","352-7072","no","no",0,210.2,92,227.3,77,200.1,116,13.1,7,1,"False.",8.58441211463541,FALSE,0.608734982321039
"122","TX",41,"408","370-7550","no","yes",22,213.8,102,141.8,86,142.2,123,7.2,3,0,"False.",12.0080627030535,FALSE,0.410689776530489
"123","MD",121,"510","369-5526","no","no",0,190.7,103,183.5,117,220.8,103,9.8,4,3,"False.",2.99971171638079,FALSE,0.147094690939412
"124","MS",193,"415","329-4391","no","no",0,170.9,124,132.3,95,112.9,89,11.6,3,1,"False.",13.3554845322697,FALSE,0.935299803270027
"125","NV",130,"510","408-4195","no","no",0,154.2,119,110.2,98,227.4,117,9.2,5,2,"False.",6.65151313165155,FALSE,0.301228899974376
"127","MS",162,"415","335-4858","no","no",0,70.7,108,157.5,87,154.8,82,9.1,3,4,"True.",14.0585799828775,FALSE,0.947726940037683
"128","MS",61,"510","414-8718","no","yes",27,187.5,124,146.6,103,225.7,129,6.4,6,4,"True.",15.5917979794963,FALSE,0.720596273429692
"129","TX",92,"408","409-5939","no","no",0,91.7,90,193.7,123,175,86,9.2,4,2,"False.",5.99267524668849,FALSE,0.142294295597821
"130","NE",131,"408","331-4902","no","yes",36,214.2,115,161.7,117,264.7,102,9.5,4,3,"False.",10.2538384517781,FALSE,0.549284656066447
"131","NE",90,"415","353-6870","no","no",0,145.5,92,217.7,114,146.9,123,10.9,2,3,"False.",6.70953386924601,FALSE,0.95409123855643
"132","CA",75,"408","355-2909","no","no",0,166.3,125,158.2,86,256.7,80,6.1,5,1,"False.",8.5624988136625,FALSE,0.585483353119344
"133","NJ",78,"415","390-6101","no","no",0,231,115,230.4,140,261.4,120,9.5,3,1,"False.",9.57617173159312,FALSE,0.404510281747207
"134","TX",82,"408","400-3446","no","no",0,200.3,96,201.2,102,206.1,60,7.1,1,4,"False.",12.409011078512,FALSE,0.64789347932674
"135","AR",163,"408","411-5859","no","no",0,197,109,202.6,128,206.4,80,9.1,10,1,"False.",13.0807655463176,FALSE,0.319820617092773
"136","AL",91,"510","387-2919","yes","no",0,129.9,112,173.3,83,247.2,130,11.2,3,3,"False.",8.07371570975003,FALSE,0.307720010867342
"137","NY",75,"415","374-8525","no","yes",21,175.8,97,217.5,106,237.5,134,5.3,4,5,"False.",16.3777607279738,FALSE,0.219767631264403
"138","FL",91,"510","379-5592","no","no",0,203.1,106,210.1,113,195.6,129,12,3,3,"False.",5.75428973602674,FALSE,0.369488865835592
"139","AK",127,"510","345-8237","no","yes",36,183.2,117,126.8,76,263.3,71,11.2,8,1,"False.",16.0525639326684,FALSE,0.984219203470275
"140","NV",113,"415","422-6690","no","yes",23,205,101,152,60,158.6,59,10.2,5,2,"False.",12.4100009347844,FALSE,0.154202300822362
"142","MD",120,"415","374-3534","no","yes",39,200.3,68,220.4,97,253.8,116,10.5,4,0,"False.",12.6517214609435,FALSE,0.141906907781959
"143","MI",157,"415","381-4756","no","yes",28,192.6,107,195.5,74,109.7,139,6.8,5,3,"False.",17.4460496009015,FALSE,0.690007101511583
"144","VT",103,"510","390-2805","no","no",0,246.5,47,195.5,84,200.5,96,11.7,4,1,"False.",11.4696497548766,FALSE,0.619256483390927
"145","VT",117,"408","390-2390","yes","no",0,167.1,86,177.5,87,249.4,132,14.1,7,2,"True.",9.43805932979393,FALSE,0.891394117148593
"146","MI",140,"415","419-9097","no","no",0,231.9,101,160.1,94,110.4,98,14.3,6,3,"False.",10.9020623263987,FALSE,0.672999092610553
"147","WA",127,"408","386-7281","no","no",0,146.7,91,203.5,78,203.4,110,13.7,3,1,"False.",5.16659301879473,FALSE,0.737077737925574
"148","UT",83,"408","380-3561","yes","no",0,271.5,87,216.3,126,121.1,105,11.7,4,1,"False.",9.10373072950561,FALSE,0.521135725779459
"149","LA",121,"408","390-8760","no","no",0,181.5,121,218.4,98,161.6,103,8.5,5,1,"False.",3.17322620374547,FALSE,0.65983844967559
"150","RI",145,"408","366-6730","no","yes",43,257.7,97,162.1,95,286.9,86,11.1,4,2,"False.",14.535303763785,FALSE,0.821805460145697
"151","IA",113,"408","395-5285","no","no",0,193.8,99,221.4,125,172.3,67,10.6,6,1,"False.",6.4273214382015,FALSE,0.786281551700085
"152","NE",117,"415","354-3436","no","no",0,102.8,119,206.7,91,299,105,10.1,7,1,"False.",9.10638118684961,FALSE,0.979821917368099
"153","OH",65,"408","336-7600","no","no",0,187.9,116,157.6,117,227.3,86,7.5,6,1,"False.",6.0501757138648,FALSE,0.439431536244228
"156","LA",151,"408","401-3926","no","no",0,178.7,116,292.1,138,265.9,101,9.8,4,0,"False.",12.8446930329547,FALSE,0.31170220207423
"158","VA",139,"510","328-6289","no","yes",23,157.6,129,247,96,259.2,112,13.7,2,0,"False.",11.3289436480513,FALSE,0.409474952612072
"160","FL",115,"510","351-4616","no","yes",24,142.1,124,183.4,129,164.8,114,9.6,4,1,"False.",7.40398908137068,FALSE,0.18384952400811
"161","SC",87,"415","360-5779","no","no",0,136.3,97,172.2,108,137.5,101,7.1,5,0,"False.",6.61419536905268,FALSE,0.842729318886995
"162","VA",141,"415","417-4885","no","no",0,217.1,110,241.5,111,253.5,103,12,6,0,"False.",6.42691199620453,FALSE,0.231161782052368
"163","IA",141,"510","406-4710","no","yes",36,187.5,99,241.4,116,229.5,105,10.5,5,3,"False.",8.64941024421134,FALSE,0.239099955651909
"165","OK",146,"415","335-4584","no","no",0,206.3,151,148.6,89,167.2,91,6.1,3,1,"False.",13.7700659502759,FALSE,0.245723678031936
"166","DE",92,"415","361-9845","no","yes",33,243.1,92,213.8,92,228.7,104,12.1,2,2,"False.",7.44546770935698,FALSE,0.73213520552963
"167","GA",185,"510","366-5699","no","yes",31,189.8,126,163.3,133,264.8,126,7.5,3,1,"False.",17.4394101902941,FALSE,0.847453165100887
"168","DC",148,"415","329-9364","no","no",0,202,102,243.2,128,261.3,90,10.9,3,1,"False.",7.22569702687322,FALSE,0.497527267085388
"169","AZ",94,"408","390-7434","no","yes",38,170.1,124,193.3,116,105.9,73,12.8,4,1,"False.",13.891930153347,FALSE,0.387909029843286
"170","AL",32,"510","404-9680","no","no",0,230.9,87,187.4,90,154,53,6.3,2,0,"False.",16.9272865065348,FALSE,0.246448994148523
"171","CO",68,"408","338-9398","no","no",0,237.1,105,223.5,105,97.4,79,13.2,2,1,"False.",10.8497324372853,FALSE,0.111096461303532
"172","NH",64,"408","394-2445","no","yes",27,182.1,91,169.7,98,164.7,86,10.6,5,2,"False.",4.98918988135723,FALSE,0.389994435245171
"173","NM",25,"415","381-2709","no","no",0,119.3,87,211.5,101,268.9,86,10.5,4,3,"False.",9.44033405693819,FALSE,0.571935313986614
"174","OR",65,"415","397-5060","no","no",0,116.8,87,178.9,93,182.4,150,14.1,2,1,"False.",13.5686310615784,FALSE,0.216892762808129
"175","LA",179,"408","415-2393","no","no",0,219.2,92,149.4,125,244.7,104,6.1,5,0,"False.",12.6807749444712,FALSE,0.44476800202392
"176","NE",94,"415","377-1765","no","no",0,252.6,104,169,125,170.9,106,11.1,7,2,"False.",6.71470079118342,FALSE,0.21799066872336
"177","MN",62,"415","409-2111","no","no",0,147.1,91,190.4,107,195.2,115,12.2,3,0,"False.",5.06913608710379,FALSE,0.502299563260749
"178","MI",127,"415","401-3170","no","no",0,202.1,103,229.4,86,195.2,113,11.5,3,2,"False.",3.21601757099481,FALSE,0.353904571849853
"179","AR",116,"408","405-5681","no","no",0,173.5,93,194.1,76,208,112,16.2,10,3,"False.",16.2695035262161,FALSE,0.64998515881598
"181","WV",94,"510","355-5009","yes","yes",23,197.1,125,214.5,136,282.2,103,9.5,5,4,"False.",13.3516231316403,FALSE,0.374713956611231
"184","NH",19,"408","361-3337","no","no",0,186.1,98,254.3,57,214,127,14.6,7,2,"False.",18.0170695162907,FALSE,0.355445380788296
"185","VA",170,"510","350-1639","yes","no",0,259.9,68,245,122,134.4,121,8.4,3,3,"False.",15.6890843639157,FALSE,0.533687945455313
"187","NY",106,"408","422-1471","no","no",0,158.7,74,64.3,139,198.5,103,10.2,4,1,"False.",14.2812138849528,FALSE,0.740334360394627
"188","AZ",93,"415","399-7865","no","no",0,271.6,71,229.4,108,77.3,121,10.9,3,2,"False.",14.2044763941933,FALSE,0.221102937823161
"189","WY",164,"510","373-4819","no","no",0,160.6,111,163.2,126,187.1,112,9,3,1,"False.",6.85565035084655,FALSE,0.41274611861445
"190","WA",51,"408","338-6981","no","no",0,232.4,109,187.4,95,231.2,107,9.1,3,1,"False.",4.43157369669446,FALSE,0.265686686849222
"191","CO",107,"415","418-4365","no","no",0,133.8,85,180.5,94,112.2,115,8.9,4,0,"False.",7.81012939191349,FALSE,0.629973053466529
"192","TX",130,"415","359-5461","no","no",0,176.9,109,90.7,104,238,69,9.5,2,1,"False.",10.714101562146,FALSE,0.183828490786254
"193","KY",80,"408","375-3586","no","no",0,209.9,74,195.1,77,208.2,119,8.8,4,2,"False.",5.78495372431309,FALSE,0.86364411143586
"194","MT",94,"415","407-8376","no","no",0,137.5,118,203.2,88,150,131,13.4,2,0,"False.",9.7849597475141,FALSE,0.746568004135042
"195","OK",118,"408","408-6496","no","yes",23,289.5,52,166.6,111,119.1,88,9.5,4,1,"False.",16.7628114656115,FALSE,0.668284649727866
"196","MD",117,"415","385-7688","no","yes",23,198.1,86,177,86,180.5,92,6.8,6,1,"False.",6.11577922841172,FALSE,0.618017873261124
"197","TN",78,"415","332-6934","no","no",0,149.7,119,182.2,115,261.5,126,9.7,8,0,"False.",10.3487927977369,FALSE,0.372238060226664
"199","ME",131,"510","353-7292","yes","yes",26,292.9,101,199.7,97,255.3,127,13.8,7,4,"True.",17.7737292467416,FALSE,0.529835685854778
"200","DC",63,"408","399-6786","no","no",0,83,64,177,106,245.7,89,13,3,0,"False.",12.6909233985692,FALSE,0.874682342866436
"201","MN",53,"415","358-3261","no","yes",24,145.7,146,220.5,136,249.9,96,13.1,5,3,"False.",17.0755103630669,FALSE,0.581750099780038
"202","DE",62,"408","377-9932","no","no",0,182.3,101,328.2,93,245,131,11.2,1,2,"False.",14.1405684714257,FALSE,0.839767764788121
"203","MD",97,"415","397-4030","no","no",0,218,86,184,94,240.5,110,6.4,8,3,"False.",9.14028498517019,FALSE,0.312448164913803
"204","MI",105,"510","367-1062","no","no",0,140.6,109,178.6,51,217,83,6.8,3,2,"False.",10.4673277464455,FALSE,0.70829032221809
"205","WA",157,"415","341-8467","no","no",0,152.7,105,257.5,80,198.1,93,9.4,4,1,"False.",5.39137958692172,FALSE,0.265017806086689
"206","MO",66,"415","339-9453","no","yes",36,106.7,76,209.8,77,190.4,117,12.1,2,1,"False.",12.6942540571023,FALSE,0.594343194039539
"207","IN",122,"415","344-3388","no","no",0,243.8,98,83.9,72,179.8,84,13.7,8,2,"False.",15.8653334270618,FALSE,0.481289800489321
"208","OR",38,"415","375-8013","no","no",0,194.4,94,186.7,95,223.3,90,10.8,5,3,"False.",5.28764179207671,FALSE,0.26503273146227
"209","MD",106,"510","408-4142","no","no",0,213.9,95,151.9,70,260.1,124,12.2,5,3,"False.",9.56107993881441,FALSE,0.564590434776619
"210","RI",99,"510","386-3671","no","no",0,217.2,112,246.7,89,226.1,89,15.8,7,3,"False.",10.8293816913181,FALSE,0.913188223028556
"211","LA",99,"415","411-2284","no","no",0,241.1,72,155.6,98,188.2,109,11.6,10,1,"False.",13.3724328142096,FALSE,0.901874389499426
"212","AZ",144,"510","346-7795","yes","no",0,203.5,100,247.6,103,194.3,94,11.9,11,0,"False.",14.1614400606153,FALSE,0.274166621500626
"213","PA",82,"415","333-5609","no","yes",24,155.2,131,244.5,106,122.4,68,10.7,3,1,"False.",11.1532558307525,FALSE,0.321482756407931
"214","AZ",86,"408","405-1842","no","yes",31,167.6,139,113,118,246.9,121,12.2,6,1,"False.",14.4109099812708,FALSE,0.985640884377062
"215","FL",70,"510","366-6345","yes","no",0,226.7,98,228.1,115,73.2,93,17.6,4,2,"True.",17.2462128905003,FALSE,0.619993310188875
"216","LA",93,"415","337-9345","no","no",0,179.3,93,178.6,98,225.2,131,11.5,6,3,"False.",5.97885154575819,FALSE,0.937314089154825
"217","FL",93,"415","328-6770","no","no",0,151.4,89,186.4,76,172.5,120,10.9,3,0,"False.",5.9459787039424,FALSE,0.466532702324912
"218","FL",120,"415","380-7321","no","no",0,180,80,224.2,82,265.4,91,4.7,7,3,"False.",11.7042322727031,FALSE,0.406832593260333
"219","MD",136,"415","375-1476","no","no",0,250.2,121,267.1,118,151,114,13,2,1,"True.",10.573264283341,FALSE,0.659230324206874
"221","WA",81,"415","422-6685","no","no",0,183.6,116,152.6,98,212.2,99,12.2,6,3,"False.",4.96815209643192,FALSE,0.152346616843715
"222","TN",127,"408","336-1090","no","yes",22,166,114,174.5,103,244.9,68,10.2,6,1,"False.",6.57525924009057,FALSE,0.572867058217525
